ori,pre_months,post_months,tot_n,att_pp,ci_lo_pp,ci_hi_pp,p,state,state_abb,pre_monthly_avg,volume_tercile,log_volume,att_se,precision
IN0220100,27,9,97,10.364844654292,9.67156497396493,11.058124334619,9.52934965524283e-189,IN,in,3.18181818181818,High,1.43074612369072,0.353714122615827,7.9293538633947
IN0270000,14,7,28,-3.72561809314442,-3.76666093324784,-3.68457525304099,0,IN,in,1.14285714285714,Low,0.762140052046897,0.0209402245425638,695.171959330842
IN0270200,19,12,49,8.62964400992446,7.95690789573632,9.3023801241126,1.71762551097686e-139,IN,in,1.4,Low,0.8754687373539,0.343232711320481,8.41689244548496
IN0290000,14,7,24,19.8756793656001,18.9832638849748,20.7680948462255,0,IN,in,1.22222222222222,Low,0.798507696217772,0.455314020727221,4.80051789974621
IN0290100,28,16,140,5.12626078837592,4.54411241816665,5.70840915858519,9.52649880756942e-67,IN,in,3.91666666666667,High,1.59263079411772,0.297014474596566,11.2085510154217
IN0290200,27,15,93,-0.704455251326598,-1.42011157736206,0.0112010747088656,0.0536907618218401,IN,in,2.66666666666667,High,1.29928298413026,0.365130778589522,7.44488077507807
IN0290400,22,10,64,9.90569221566096,9.14089882755897,10.670485603763,3.58706301907144e-142,IN,in,2.7,High,1.30833281965018,0.390200708215304,6.52500478078289
IN0290700,25,11,83,9.01256733979953,8.29898412473175,9.7261505548673,2.75032244873212e-135,IN,in,2.27272727272727,Medium,1.18562366565774,0.36407306891213,7.48787715456775
IN0300000,20,7,38,-6.58308579413515,-7.37090305406433,-5.79526853420596,2.74757236503968e-60,IN,in,1.88888888888889,Medium,1.06087196068526,0.401947581596522,6.15150448046073
IN0300700,8,10,24,8.56244953585528,7.14767379110942,9.97722528060113,1.85946396617594e-32,IN,in,1.25,Low,0.810930216216329,0.721824359564213,1.9155972303355
IN0320000,27,15,84,17.6444824079805,17.0882273505083,18.2007374654527,0,IN,in,2.36363636363636,High,1.21302263984585,0.283803600751131,12.2632452056615
